benchmark,baseline_result,baseline_time,deepseek_result,deepseek_time,num_samples,extracted,assume_TRUE,assert_TRUE,assume_TIMEOUT,assert_TIMEOUT,category,raw_faster
dijkstra-u_valuebound2_4.c,TRUE,444,TRUE,534,7,7,4,0,3,7,assert_phase_timeout,False
dijkstra-u_valuebound2_7.c,TRUE,314,TRUE,6,6,6,6,0,0,0,too_weak_invariant,True
egcd-ll_4.c,TRUE,7,TRUE,4,4,4,4,0,0,0,too_weak_invariant,True
egcd-ll_unwindbound10_4.c,FALSE,9,FALSE,5,3,3,1,0,2,0,property_false_or_bug,True
egcd-ll_unwindbound10_6.c,TRUE,11,TRUE,9,10,10,4,0,6,0,too_weak_invariant,True
egcd-ll_unwindbound2_4.c,FALSE,8,FALSE,9,2,2,1,0,1,0,property_false_or_bug,False
egcd-ll_unwindbound2_5.c,FALSE,9,FALSE,8,9,9,2,0,6,0,property_false_or_bug,True
egcd-ll_unwindbound2_7.c,TRUE,16,TRUE,12,8,8,7,0,1,0,too_weak_invariant,True
egcd-ll_unwindbound50_4.c,FALSE,18,FALSE,6,4,4,1,0,3,0,property_false_or_bug,True
egcd-ll_unwindbound50_5.c,FALSE,71,FALSE,5,3,3,2,0,1,0,property_false_or_bug,True
egcd-ll_unwindbound50_6.c,TRUE,11,TRUE,9,7,7,3,0,4,0,too_weak_invariant,True
egcd-ll_unwindbound5_4.c,FALSE,9,FALSE,11,3,3,0,0,3,0,property_false_or_bug,False
egcd-ll_unwindbound5_5.c,FALSE,33,FALSE,39,4,4,0,0,4,0,property_false_or_bug,False
egcd-ll_unwindbound5_7.c,TRUE,58,TRUE,69,1,1,0,0,1,0,assume_phase_timeout,False
egcd-ll_valuebound100_5.c,TRUE,65,TRUE,78,1,1,0,0,1,0,assume_phase_timeout,False
egcd-ll_valuebound10_4.c,TRUE,7,TRUE,5,5,5,5,0,0,0,too_weak_invariant,True
egcd-ll_valuebound20_4.c,TRUE,7,TRUE,4,3,3,3,0,0,0,too_weak_invariant,True
egcd-ll_valuebound50_4.c,TRUE,7,TRUE,9,5,5,0,0,5,5,assert_phase_timeout,False
egcd-ll_valuebound50_6.c,TRUE,10,TRUE,13,11,11,0,0,11,11,assert_phase_timeout,False
egcd-ll_valuebound5_4.c,TRUE,7,TRUE,9,7,7,0,0,7,7,assert_phase_timeout,False
egcd-ll_valuebound5_5.c,TRUE,58,TRUE,20,2,2,1,0,1,0,too_weak_invariant,True
egcd-ll_valuebound5_7.c,TRUE,35,TRUE,12,1,1,1,0,0,0,too_weak_invariant,True
egcd2-ll_unwindbound5_1.c,TRUE,8,TRUE,10,6,6,0,0,6,6,assert_phase_timeout,False
egcd2-ll_unwindbound5_4.c,TRUE,119,TRUE,15,5,5,5,0,0,0,too_weak_invariant,True
egcd2-ll_valuebound1_4.c,TRUE,10,TRUE,7,5,5,5,0,0,0,too_weak_invariant,True
egcd2-ll_valuebound2_4.c,TRUE,17,TRUE,5,2,2,1,0,1,0,too_weak_invariant,True
egcd2-ll_valuebound2_5.c,TRUE,44,TRUE,53,1,1,0,0,1,0,assume_phase_timeout,False
egcd2_1.c,TRUE,9,TRUE,6,4,4,4,0,0,1,too_weak_invariant,True
egcd3-ll_unwindbound10_4.c,TRUE,23,TRUE,4,3,3,3,0,0,0,too_weak_invariant,True
egcd3-ll_unwindbound50_4.c,TRUE,21,TRUE,6,5,5,5,0,0,1,too_weak_invariant,True
egcd3-ll_unwindbound5_4.c,TRUE,8,TRUE,6,4,4,4,0,0,0,too_weak_invariant,True
egcd3-ll_valuebound1_4.c,TRUE,8,TRUE,5,3,3,3,0,0,1,too_weak_invariant,True
egcd3-ll_valuebound2_3.c,TRUE,10,TRUE,6,2,2,2,0,0,1,too_weak_invariant,True
egcd3-ll_valuebound2_4.c,TRUE,9,TRUE,6,2,2,2,0,0,1,too_weak_invariant,True
egcd3-ll_valuebound50_4.c,TRUE,9,TRUE,11,4,4,4,0,0,4,assert_phase_timeout,False
egcd3_4.c,TRUE,9,TRUE,12,5,5,5,0,0,5,assert_phase_timeout,False
eqn1f_1.c,FALSE,17,FALSE,8,1,1,0,0,0,0,property_false_or_bug,True
eqn5f_1.c,FALSE,11,FALSE,6,4,4,0,0,0,0,property_false_or_bug,True
fermat1-ll_unwindbound10_4.c,FALSE,202,FALSE,5,5,5,1,0,0,0,property_false_or_bug,True
fermat1-ll_unwindbound2_3.c,TRUE,8,TRUE,10,12,12,0,0,12,12,assert_phase_timeout,False
fermat1_3.c,TRUE,12,TRUE,8,3,3,2,0,1,0,too_weak_invariant,True
freire2_unwindbound10_3.c,FALSE,90,FALSE,50,2,2,2,0,0,0,property_false_or_bug,True
freire2_unwindbound10_6.c,FALSE,77,FALSE,92,1,1,0,0,1,0,property_false_or_bug,False
freire2_unwindbound1_3.c,FALSE,46,FALSE,28,3,3,2,0,0,1,property_false_or_bug,True
freire2_unwindbound1_6.c,FALSE,37,FALSE,45,1,1,0,0,1,0,property_false_or_bug,False
freire2_valuebound100_3.c,FALSE,25,FALSE,18,2,2,1,0,0,1,property_false_or_bug,True
freire2_valuebound100_6.c,FALSE,24,FALSE,29,1,1,0,0,1,0,property_false_or_bug,False
freire2_valuebound10_1.c,TRUE,212,TRUE,15,7,7,7,0,0,1,too_weak_invariant,True
freire2_valuebound10_3.c,FALSE,23,FALSE,13,3,3,2,0,0,0,property_false_or_bug,True
freire2_valuebound10_4.c,TRUE,354,TRUE,9,1,1,1,0,0,0,too_weak_invariant,True
freire2_valuebound10_6.c,FALSE,23,FALSE,27,1,1,0,0,1,0,property_false_or_bug,False
geo1-ll2_unwindbound20_2.c,TRUE,9,TRUE,10,10,10,1,0,9,2,assume_phase_timeout,False
geo1-ll2_unwindbound2_2.c,TRUE,10,TRUE,16,11,11,4,0,7,1,too_weak_invariant,False
geo1-ll_unwindbound1_2.c,TRUE,29,TRUE,35,2,2,1,0,1,0,too_weak_invariant,False
geo1-ll_unwindbound2_2.c,TRUE,33,TRUE,44,3,3,0,0,3,0,assume_phase_timeout,False
geo1-ll_valuebound2_2.c,TRUE,8,TRUE,15,2,2,1,0,1,0,too_weak_invariant,False
geo1-u2_unwindbound100_2.c,FALSE,8,FALSE,9,4,4,0,0,3,2,property_false_or_bug,False
geo1-u2_unwindbound10_2.c,FALSE,8,FALSE,10,6,6,0,0,4,3,property_false_or_bug,False
geo1-u2_valuebound50_2.c,FALSE,8,FALSE,10,6,6,0,0,6,3,property_false_or_bug,False
geo1-u_2.c,FALSE,8,FALSE,10,1,1,0,0,1,0,property_false_or_bug,False
geo1-u_unwindbound1_2.c,FALSE,8,FALSE,16,5,5,0,0,5,1,property_false_or_bug,False
geo1-u_valuebound10_2.c,FALSE,8,FALSE,9,5,5,0,0,5,2,property_false_or_bug,False
geo1-u_valuebound1_2.c,FALSE,7,FALSE,7,7,7,2,0,4,2,property_false_or_bug,True
geo2-ll2_2.c,TRUE,9,TRUE,5,4,4,3,0,1,0,too_weak_invariant,True
geo2-ll2_unwindbound50_2.c,TRUE,9,TRUE,11,6,6,3,0,3,1,too_weak_invariant,False
geo2-ll2_valuebound100_2.c,TRUE,9,TRUE,4,2,2,2,0,0,0,too_weak_invariant,True
geo2-ll_unwindbound5_2.c,TRUE,265,TRUE,7,6,6,1,0,3,0,too_weak_invariant,True
geo2-ll_valuebound2_2.c,TRUE,17,TRUE,11,12,12,2,0,10,1,assume_phase_timeout,True
geo2-ll_valuebound5_2.c,TRUE,8,TRUE,4,2,2,1,0,1,0,too_weak_invariant,True
geo3-ll2_unwindbound20_2.c,TRUE,9,TRUE,6,5,5,1,0,4,0,assume_phase_timeout,True
geo3-ll2_unwindbound2_2.c,TRUE,9,TRUE,8,10,10,3,0,7,0,too_weak_invariant,False
geo3-ll2_unwindbound50_2.c,TRUE,8,TRUE,6,6,6,3,0,3,0,too_weak_invariant,True
geo3-ll_unwindbound1_2.c,TRUE,41,TRUE,32,5,5,3,0,2,0,too_weak_invariant,True
geo3-ll_unwindbound2_2.c,TRUE,44,TRUE,6,5,5,5,0,0,0,too_weak_invariant,True
geo3-ll_unwindbound5_2.c,TRUE,336,TRUE,6,5,5,3,0,2,0,too_weak_invariant,True
geo3-ll_valuebound2_1.c,TRUE,10,TRUE,5,4,4,4,0,0,0,too_weak_invariant,True
hard-ll_1.c,TRUE,7,TRUE,8,9,9,7,0,2,9,assert_phase_timeout,False
hard-ll_2.c,TRUE,7,TRUE,5,5,5,5,0,0,3,too_weak_invariant,True
hard-ll_valuebound2_1.c,TRUE,7,TRUE,4,2,2,2,0,0,1,too_weak_invariant,True
hard-ll_valuebound2_4.c,TRUE,77,TRUE,93,1,1,1,0,0,1,assert_phase_timeout,False
hard-ll_valuebound2_5.c,TRUE,24,TRUE,9,6,6,6,0,0,4,too_weak_invariant,True
hard-ll_valuebound2_7.c,TRUE,14,TRUE,6,5,5,4,0,1,3,too_weak_invariant,True
hard-u_1.c,TRUE,7,TRUE,9,9,9,9,0,0,4,too_weak_invariant,False
hard-u_5.c,FALSE,402,FALSE,9,9,9,7,0,2,8,property_false_or_bug,True
hard-u_7.c,FALSE,13,FALSE,6,7,7,1,0,6,1,property_false_or_bug,True
hard-u_unwindbound1_1.c,TRUE,7,TRUE,8,10,10,6,0,4,10,assert_phase_timeout,False
hard-u_valuebound10_1.c,TRUE,7,TRUE,6,5,5,5,0,0,3,too_weak_invariant,True
hard-u_valuebound10_2.c,TRUE,8,TRUE,9,2,2,2,0,0,2,assert_phase_timeout,False
hard-u_valuebound1_6.c,TRUE,40,TRUE,5,3,3,3,0,0,2,too_weak_invariant,True
hard2_1.c,TRUE,8,TRUE,9,9,9,7,0,2,4,too_weak_invariant,False
hard2_2.c,TRUE,7,TRUE,7,6,6,6,0,0,1,too_weak_invariant,False
hard2_4.c,TRUE,438,TRUE,5,3,3,3,0,0,0,too_weak_invariant,True
hard2_valuebound10_1.c,TRUE,7,TRUE,5,4,4,4,0,0,2,too_weak_invariant,True
hard2_valuebound10_5.c,TRUE,175,TRUE,210,3,3,2,0,1,3,assert_phase_timeout,False
hard2_valuebound10_7.c,TRUE,22,TRUE,27,2,2,0,0,2,1,assume_phase_timeout,False
hard2_valuebound20_5.c,TRUE,160,TRUE,7,5,5,5,0,0,4,assert_phase_timeout,True
hard2_valuebound20_7.c,TRUE,80,TRUE,6,7,7,7,0,0,4,too_weak_invariant,True
hard2_valuebound2_4.c,TRUE,18,TRUE,22,1,1,1,0,0,1,assert_phase_timeout,False
hard2_valuebound2_6.c,TRUE,20,TRUE,4,2,2,2,0,0,0,too_weak_invariant,True
hard2_valuebound2_7.c,TRUE,11,TRUE,6,7,7,7,0,0,0,too_weak_invariant,True
ifcompf_1.c,FALSE,13,FALSE,7,2,2,0,0,0,0,property_false_or_bug,True
ifeqn4f_1.c,FALSE,11,FALSE,5,2,2,1,0,0,0,property_false_or_bug,True
indp4f_1.c,FALSE,8,FALSE,4,2,2,0,0,0,1,property_false_or_bug,True
jain_2-2_1.c,TRUE,8,TRUE,3,1,1,1,0,0,0,too_weak_invariant,True
jain_7-2_1.c,TRUE,16,TRUE,3,1,1,1,0,0,0,too_weak_invariant,True
lcm1_unwindbound20_5.c,FALSE,52,FALSE,63,6,6,0,0,6,4,property_false_or_bug,False
lcm1_valuebound20_5.c,TRUE,21,TRUE,5,5,5,5,0,0,4,assert_phase_timeout,True
lcm1_valuebound5_5.c,TRUE,9,TRUE,12,2,2,2,0,0,2,assert_phase_timeout,False
ms1f_1.c,FALSE,24,FALSE,3,1,1,0,0,0,0,property_false_or_bug,True
ms5f_1.c,FALSE,24,FALSE,4,3,3,1,0,0,0,property_false_or_bug,True
nsqm-iff_1.c,FALSE,8,FALSE,4,3,3,0,0,0,2,property_false_or_bug,True
pcompf_1.c,FALSE,73,FALSE,22,2,2,0,0,0,0,property_false_or_bug,True
poly1_1.c,TRUE,398,TRUE,478,1,1,0,0,1,0,assume_phase_timeout,False
prodbin-ll_unwindbound2_3.c,FALSE,11,FALSE,13,2,2,0,0,0,2,property_false_or_bug,False
prodbin-ll_valuebound5_2.c,TRUE,17,TRUE,11,7,7,6,0,1,1,too_weak_invariant,True
ps2-ll_2.c,TRUE,7,TRUE,9,1,1,0,0,1,1,assert_phase_timeout,False
ps4-ll_2.c,TRUE,12,TRUE,6,6,6,2,0,4,0,too_weak_invariant,True
ps4-ll_3.c,TRUE,8,TRUE,5,3,3,3,0,0,0,too_weak_invariant,True
ps4-ll_unwindbound10_2.c,FALSE,14,FALSE,17,4,4,0,0,4,0,property_false_or_bug,False
ps4-ll_unwindbound10_3.c,TRUE,9,TRUE,11,7,7,0,0,7,3,assume_phase_timeout,False
ps4-ll_unwindbound5_2.c,FALSE,12,FALSE,15,6,6,0,0,6,0,property_false_or_bug,False
ps4-ll_unwindbound5_3.c,TRUE,9,TRUE,9,10,10,4,0,6,2,too_weak_invariant,False
ps4-ll_valuebound10_2.c,TRUE,37,TRUE,6,6,6,6,0,0,1,too_weak_invariant,True
ps4-ll_valuebound10_3.c,TRUE,9,TRUE,7,6,6,2,0,4,2,too_weak_invariant,True
ps4-ll_valuebound1_3.c,TRUE,9,TRUE,9,9,9,4,0,5,2,too_weak_invariant,False
ps4-ll_valuebound20_3.c,TRUE,9,TRUE,6,5,5,3,0,2,2,too_weak_invariant,True
ps4-ll_valuebound2_2.c,TRUE,9,TRUE,9,10,10,4,0,6,5,too_weak_invariant,False
ps4-ll_valuebound2_3.c,TRUE,8,TRUE,10,10,10,4,0,6,1,too_weak_invariant,False
ps4-ll_valuebound5_3.c,TRUE,9,TRUE,8,8,8,5,0,3,2,too_weak_invariant,True
ps5-ll_2.c,TRUE,10,TRUE,14,9,9,6,0,3,1,too_weak_invariant,False
ps5-ll_3.c,TRUE,30,TRUE,9,11,11,10,0,0,0,too_weak_invariant,True
ps5-ll_unwindbound2_3.c,FALSE,14,FALSE,6,6,6,2,0,0,0,property_false_or_bug,True
ps5-ll_valuebound2_3.c,TRUE,9,TRUE,11,11,11,6,0,5,7,too_weak_invariant,False
res2f_1.c,FALSE,8,FALSE,5,4,4,0,0,0,2,property_false_or_bug,True
s1iff_1.c,FALSE,13,FALSE,6,2,2,1,0,0,1,property_false_or_bug,True
s5iff_1.c,FALSE,20,FALSE,24,2,2,0,0,0,2,property_false_or_bug,False
sina3f_1.c,FALSE,8,FALSE,10,1,1,0,0,0,1,property_false_or_bug,False
sqmf_1.c,FALSE,8,FALSE,6,6,6,0,0,0,0,property_false_or_bug,True
sqrt1-ll_valuebound100_6.c,TRUE,8,TRUE,4,1,1,1,0,0,0,too_weak_invariant,True
sqrt1-ll_valuebound50_3.c,TRUE,8,TRUE,4,1,1,1,0,0,0,too_weak_invariant,True
ss4f_1.c,FALSE,8,FALSE,10,1,1,0,0,0,1,property_false_or_bug,False
sum01-1_1.c,FALSE,9,FALSE,5,2,2,0,0,0,0,property_false_or_bug,True
sum03-1_1.c,FALSE,23,FALSE,6,2,2,0,0,0,1,property_false_or_bug,True
while_infinite_loop_4_1.c,FALSE,7,FALSE,3,1,1,0,0,0,0,property_false_or_bug,True
while_infinite_loop_4_2.c,TRUE,7,TRUE,3,1,1,1,0,0,0,too_weak_invariant,True
